p,r,f,k
0.42857142857142855,0.4,0.4137931034482759,4
0.5555555555555556,0.3333333333333333,0.4166666666666667,4
0.4411764705882353,0.42857142857142855,0.43478260869565216,4
0.4375,0.4,0.41791044776119407,4
0.5217391304347826,0.32432432432432434,0.4,4
0.48484848484848486,0.48484848484848486,0.48484848484848486,4
0.6190476190476191,0.3611111111111111,0.45614035087719296,4
0.42857142857142855,0.3333333333333333,0.375,4
0.6071428571428571,0.425,0.5,4
0.4482758620689655,0.38235294117647056,0.41269841269841273,4
0.5185185185185185,0.358974358974359,0.42424242424242425,4
0.5416666666666666,0.3939393939393939,0.45614035087719296,4
0.5517241379310345,0.37209302325581395,0.4444444444444444,4
0.4230769230769231,0.3793103448275862,0.4,4
0.5185185185185185,0.4117647058823529,0.45901639344262296,4
0.48148148148148145,0.34210526315789475,0.39999999999999997,4
0.5294117647058824,0.45,0.48648648648648646,4
0.4444444444444444,0.3333333333333333,0.380952380952381,4
0.4090909090909091,0.28125,0.3333333333333333,4
0.4583333333333333,0.3235294117647059,0.3793103448275862,4
0.4,0.36363636363636365,0.380952380952381,4
0.4883720930232558,0.5384615384615384,0.5121951219512196,4
0.3448275862068966,0.3125,0.3278688524590164,4
0.5185185185185185,0.3783783783783784,0.4375,4
0.5,0.375,0.42857142857142855,4
0.3076923076923077,0.23529411764705882,0.26666666666666666,4
0.42857142857142855,0.42857142857142855,0.42857142857142855,4
0.4666666666666667,0.42424242424242425,0.4444444444444445,4
0.4473684210526316,0.4594594594594595,0.45333333333333337,4
0.4375,0.4117647058823529,0.42424242424242425,4
0.5277777777777778,0.5135135135135135,0.5205479452054794,4
0.47368421052631576,0.46153846153846156,0.4675324675324675,4
0.39285714285714285,0.3548387096774194,0.3728813559322034,4
0.4642857142857143,0.38235294117647056,0.41935483870967744,4
0.4074074074074074,0.34375,0.37288135593220334,4
0.4074074074074074,0.4074074074074074,0.4074074074074074,4
0.48,0.2857142857142857,0.3582089552238806,4
0.25,0.15151515151515152,0.18867924528301888,4
0.5714285714285714,0.42105263157894735,0.48484848484848486,4
0.48148148148148145,0.37142857142857144,0.41935483870967744,4
0.5,0.5128205128205128,0.5063291139240506,4
0.4117647058823529,0.28,0.3333333333333333,4
0.36363636363636365,0.26666666666666666,0.30769230769230765,4
0.4722222222222222,0.4857142857142857,0.47887323943661975,4
0.45161290322580644,0.4,0.4242424242424243,4
0.53125,0.4146341463414634,0.4657534246575343,4
0.5384615384615384,0.42424242424242425,0.47457627118644075,4
